,log_ED,Freq
0,3.33008019,0.01347242
1,2.32588959,0.02694485
2,2.03282392,0.04041727
3,2.01450643,0.05388969
4,1.9913568,0.06736212
5,1.93318732,0.08083454
6,1.93258868,0.09430697
7,1.85773531,0.10777939
8,1.68949689,0.12125181
9,1.68909129,0.13472424
10,1.67922248,0.14819666
11,1.50589332,0.16166908
12,1.3848555,0.17514151
13,1.30293433,0.18861393
14,1.24594633,0.20208635
15,1.23384318,0.21555878
16,1.19970519,0.2290312
17,1.19163573,0.24250363
18,1.17936295,0.25597605
19,1.14334573,0.26944847
20,1.1238764,0.2829209
21,1.1120607,0.29639332
22,1.04698738,0.30986574
23,1.02163114,0.32333817
24,1.00641377,0.33681059
25,0.97924973,0.35028301
26,0.93394374,0.36375544
27,0.87927325,0.37722786
28,0.8256979,0.39070029
29,0.82501379,0.40417271
30,0.76418095,0.41764513
31,0.75212438,0.43111756
32,0.58478914,0.44458998
33,0.3296837,0.4580624
34,-0.48223946,0.47153483
